playlist,title,publishedAt,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration
Осень в компании Смешариков!,Ульи Копатыча - Смешарики 2D  | Мультфильмы для детей,2011-06-27T09:34:29Z,4469298,7751,1636,0,21,390
Осень в компании Смешариков!,Картография - Смешарики 2D | Мультфильмы для детей,2011-07-01T12:03:27Z,4856834,13687,1081,0,97,391
Осень в компании Смешариков!,Мыльная опера - Смешарики 2D | Мультфильмы для детей,2011-06-24T11:28:02Z,3120872,9553,929,0,68,391
Осень в компании Смешариков!,Фанерное солнце - Смешарики 2D |Мультфильмы для детей,2011-06-15T07:04:19Z,5340813,10009,966,0,22,391
Осень в компании Смешариков!,❗❓Наука для детей - Всё о растениях. Ботаника.  Сборник | Смешарики Пинкод,2018-07-10T08:30:00Z,339746,1696,180,0,34,918
Осень в компании Смешариков!,СуперМегаЭкстраПрофи - Смешарики 3D. Спорт (Новая серия 2017),2017-11-10T05:59:42Z,609271,4491,300,0,5,411
Осень в компании Смешариков!,Профилактика - Смешарики 2D | Мультфильмы для детей,2013-10-11T09:00:01Z,5449789,15007,1272,0,24,390
Осень в компании Смешариков!,Чужие голоса - Смешарики 2D  | Мультфильмы для детей,2013-10-02T07:00:01Z,5496477,18018,1177,0,47,391
Осень в компании Смешариков!,Что принесёт ветер - Смешарики 2D | Мультфильмы для детей,2013-09-19T11:19:18Z,2587771,7258,488,0,6,390
Осень в компании Смешариков!,Туризм - Смешарики 2D | Мультфильмы для детей,2013-07-02T06:19:08Z,7415022,15936,3002,0,26,391
Осень в компании Смешариков!,Щедрое небо - Смешарики 2D | Мультфильмы для детей,2013-06-28T08:26:23Z,6634559,26096,2563,0,69,391
Осень в компании Смешариков!,Монологи - Смешарики 2D | Мультфильмы для детей,2013-03-21T07:13:42Z,2729995,15135,885,0,30,391
Осень в компании Смешариков!,Похитители времени - Смешарики. Новые приключения |Мультфильмы для детей,2013-04-11T07:30:09Z,9272294,13722,2263,0,61,631
Осень в компании Смешариков!,Времена года -  Азбука доброжелательности | Смешарики 2D,2013-02-05T13:05:28Z,4074737,6746,1673,0,2,95
Осень в компании Смешариков!,Экономия времени -  Азбука здоровья | Смешарики 2D,2013-01-19T06:00:18Z,2260920,9090,711,0,34,391
Осень в компании Смешариков!,Неравные условия -  Азбука здоровья | Смешарики 2D,2013-01-15T08:01:07Z,5995771,14967,2447,0,73,391
Осень в компании Смешариков!,Самое главное - Смешарики 2D | Мультфильмы для детей,2011-06-29T09:07:51Z,6554638,24495,3119,0,85,390
Осень в компании Смешариков!,Большой куш - Смешарики 2D | Мультфильмы для детей,2011-06-27T10:10:48Z,7008755,21154,4777,0,81,390
Осень в компании Смешариков!,На память - Смешарики 2D | Мультфильмы для детей,2013-10-04T09:00:01Z,4979887,14298,1041,0,77,390
Пин-Код. Азбука финансовой грамотности - Все серии!,Темное дело - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!,2019-07-27T08:45:52Z,2083207,14183,1943,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Танец в кредит - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!,2020-03-06T08:30:12Z,1591748,27853,1233,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Ёжик и страховка - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!,2020-02-21T09:30:11Z,1115251,13371,810,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Незнакомец - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!,2019-10-18T08:30:11Z,3201039,30520,2051,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Дискуссия - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!,2020-05-14T09:30:11Z,1178229,19530,915,0,82,180
Пин-Код. Азбука финансовой грамотности - Все серии!,"Нажмите ""Ввод"" - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!",2019-10-04T08:30:12Z,1813106,17016,1063,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Свободный обмен - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!,2020-05-31T08:30:11Z,818792,13466,575,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Три Жар-птицы - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!,2020-05-29T08:30:11Z,1299146,18470,1026,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,"Раз картошка, два картошка - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!",2020-04-20T11:00:11Z,1789914,24898,1268,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Жизнь прекрасна - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!,2019-10-11T08:30:12Z,1631656,16103,1013,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Два товарища - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2020!,2020-04-03T08:30:11Z,1287296,16521,992,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Сказки Лукоморья - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!,2019-08-02T08:28:49Z,3790722,26872,3386,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Со свистом - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!,2019-05-31T08:28:15Z,1473554,9897,1124,0,74,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Трындоскоп со скидкой - Смешарики Пинкод. Азбука финансовой грамотности | ПРЕМЬЕРА 2019!,2019-06-14T08:28:15Z,1233770,11133,596,0,0,180
Пин-Код. Азбука финансовой грамотности - Все серии!,Смешарики Пинкод. Азбука финансовой грамотности. ВСЕ серии - Сборник,2020-01-31T08:30:12Z,3204557,29482,2861,0,0,1178
Смешарики. Азбука защиты леса - все серии подряд!,Пятый элемент - Смешарики 2D. Азбука экологии | ПРЕМЬЕРА 2020!,2020-02-14T09:30:12Z,919053,14032,674,0,0,180
Смешарики. Азбука защиты леса - все серии подряд!,Урок - Смешарики 2D. Азбука защиты леса | ПРЕМЬЕРА 2019!,2019-07-31T08:28:43Z,2703422,13097,2627,0,0,180
Смешарики. Азбука защиты леса - все серии подряд!,"Элементарно, Ёжик - Смешарики 2D. Азбука защиты леса | ПРЕМЬЕРА 2019!",2019-06-07T08:28:46Z,1500038,8334,980,0,129,180
Смешарики. Азбука защиты леса - все серии подряд!,Самый страшный зверь - Смешарики 2D. Азбука защиты леса | ПРЕМЬЕРА 2019!,2019-05-24T08:27:47Z,3729763,18536,3017,0,234,180
Смешарики. Азбука защиты леса - все серии подряд!,Подвиг - Смешарики 2D. Азбука защиты леса | ПРЕМЬЕРА 2019!,2019-04-25T08:58:16Z,1453963,9988,1006,0,32,180
Наследники,"Остров Кижи. Смешарики | Рубрика ""Наследники""",2018-05-25T08:30:01Z,1190431,6634,846,0,149,295
Наследники,"Санкт-Петербург.  Смешарики | Рубрика ""Наследники""",2018-04-02T09:00:01Z,855023,6530,541,0,21,306
Наследники,"Озеро Байкал. Смешарики | Рубрика ""Наследники""",2018-03-26T09:00:02Z,806122,6730,793,0,12,333
Смешарики. Все полнометражные фильмы!,Смешарики. ДежаВю | Полнометражный мультфильм для детей,2019-04-05T08:27:48Z,20429621,150194,15671,0,1435,5110
Смешарики. Все полнометражные фильмы!,Смешарики. Начало | Полнометражный мультфильм для детей,2018-11-02T08:28:29Z,23989572,125006,20277,0,907,5234
Смешарики. Все полнометражные фильмы!,Смешарики. Легенда о Золотом Драконе | Полнометражный мультфильм для детей,2018-11-23T08:28:33Z,8277688,54751,5401,0,99,4817
Пин-код. Смешарики - Все сборники!,Сборник серий о планете Земля. Смешарики. Пинкод | Познавательные мультфильмы,2018-07-20T08:30:00Z,7239843,37746,4304,0,542,4239
Пин-код. Смешарики - Все сборники!,Ботаника - сборник. Смешарики. Пинкод | Познавательные мультфильмы,2018-08-24T08:30:04Z,6411412,29292,3563,0,130,4250
Пин-код. Смешарики - Все сборники!,Сборник по биологии - Смешарики. ПИН - код | Познавательные мультфильмы,2017-10-30T14:30:01Z,3489480,15582,1848,0,66,3587
Пин-код. Смешарики - Все сборники!,Сборник по медицине - Смешарики. ПИН - код |Познавательные мультфильмы,2017-11-12T09:00:01Z,7750156,33674,5598,0,199,3538
Пин-код. Смешарики - Все сборники!,Спойлы. Как подружиться со своей неудачей. Премьера нового мультфильма 0+,2019-12-25T13:44:20Z,1682372,4468,1598,0,0,679
Пин-код. Смешарики - Все сборники!,Сборник о других планетах - Смешарики. ПИН - код.  | Познавательные мультфильмы,2017-12-04T12:00:06Z,2795960,11270,1457,0,60,3540
Пин-код. Смешарики - Все сборники!,Муки выбора - Смешарики 2D. Азбука профессий будущего со Смешариками | ПРЕМЬЕРА 2020!,2020-09-09T08:30:10Z,652096,7405,500,0,0,194
Пин-код. Смешарики - Все сборники!,Сборник ТОП 10 серий 2го сезона - Смешарики. ПИН - код |Познавательный мультфильм,2017-11-29T09:00:04Z,7509999,15709,3250,0,112,7060
Пин-код. Смешарики - Все сборники!,Смешарики Пинкод. Невероятные космические путешествия! - Сборник серий,2020-04-10T08:30:13Z,1342469,9076,901,0,0,6391
Пин-код. Смешарики - Все сборники!,Сборник о Вселенной -  Смешарики. ПИН - код|Познавательный мультфильм,2017-11-06T14:00:02Z,4560220,17181,1969,0,103,3533
